date,code,side,quantity,exec_price,slippage_pct,rejected,reject_reason,qscore
2026-03-08,035720,BUY,228,21884.558298797627,0.0010,False,,0.6768
2026-03-08,247540,BUY,119,39728.199073048236,0.0010,False,,0.6465
2026-03-08,005930,BUY,83,57098.73117213555,0.0010,False,,0.5995
2026-03-08,005380,BUY,139,34120.55338169467,0.0010,False,,0.5311
2026-03-08,207940,BUY,71,66482.68735253352,0.0010,False,,0.4733
2026-03-09,0043B0,BUY,151,33023.9376033754,0.0010,False,,0.6
2026-03-09,357870,BUY,88,56313.006286434844,0.0010,False,,0.6
2026-03-09,449170,BUY,109,45824.95255979072,0.0011,False,,0.6
2026-03-09,455890,BUY,156,32079.848647479557,0.0010,False,,0.6
2026-03-09,463290,BUY,142,35179.77737481557,0.0010,False,,0.6
2026-03-09,479080,BUY,103,48176.165130444635,0.0010,False,,0.6
2026-03-09,488770,BUY,0,0,0.0000,True,섹터 노출 한도 초과 (30%),0.6
2026-03-09,043260,BUY,173,20251.424835584912,0.0010,False,,0.5954
2026-03-09,263750,BUY,36,97174.3895962866,0.0010,False,,0.5947
2026-03-09,083650,BUY,181,19381.7306953257,0.0010,False,,0.5946
2026-03-09,237690,BUY,124,28090.508893485687,0.0010,False,,0.5919
2026-03-09,017960,BUY,72,48085.5934261323,0.0010,False,,0.5918
2026-03-09,084110,BUY,71,49161.052257371055,0.0010,False,,0.5905
2026-03-09,389030,BUY,49,71009.60850645436,0.0011,False,,0.5904
2026-03-09,0043B0,SELL,151,82192.43785277389,0.0012,False,,
2026-03-09,449170,SELL,109,65671.60406667658,0.0010,False,,
2026-03-09,463290,SELL,142,84789.53983109289,0.0011,False,,
2026-03-09,043260,SELL,173,17981.583669983276,0.0010,False,,
2026-03-09,083650,SELL,181,73076.86778487073,0.0010,False,,
2026-03-09,237690,SELL,124,19747.041011277026,0.0010,False,,
2026-03-09,455890,SELL,156,81136.10356533194,0.0011,False,,
2026-03-09,263750,SELL,36,66338.88788859386,0.0010,False,,
2026-03-09,017960,SELL,72,91628.33763510031,0.0010,False,,
2026-03-09,084110,SELL,71,91245.65110240417,0.0010,False,,
2026-03-09,389030,SELL,49,77829.02721820048,0.0010,False,,
2026-03-09,357870,SELL,88,77718.12475246703,0.0011,False,,
2026-03-09,479080,SELL,103,81321.2813660287,0.0010,False,,
2026-03-09,0043B0,BUY,86,83173.10085941986,0.0010,False,,0.6
2026-03-09,449170,BUY,109,65187.82241008414,0.0011,False,,0.6
2026-03-09,463290,BUY,83,86038.4264954307,0.0010,False,,0.6
2026-03-09,469830,BUY,131,54473.55057524911,0.0010,False,,0.6
2026-03-09,488770,BUY,86,83349.18809605662,0.0010,False,,0.6
2026-03-09,043260,BUY,293,18365.67573059327,0.0010,False,,0.5954
2026-03-09,263750,BUY,81,66028.99276413619,0.0010,False,,0.5947
2026-03-09,083650,BUY,73,73376.75001901329,0.0010,False,,0.5946
2026-03-09,237690,BUY,272,19713.1669343302,0.0010,False,,0.5919
2026-03-09,017960,BUY,57,93180.89046656998,0.0010,False,,0.5918
2026-03-09,084110,BUY,61,88193.32495797325,0.0010,False,,0.5905
2026-03-09,389030,BUY,70,75940.1478711041,0.0010,False,,0.5904
2026-03-10,0043B0,SELL,0,0,0.0000,True,"유동성 부족 (5일 평균 551,866,079원)",
2026-03-10,449170,SELL,0,0,0.0000,True,"유동성 부족 (5일 평균 -762,090,109원)",
